query,MAPPED_TERM_LABEL,Type,Levenshtein,Zooma,SciSpacy,Spacy,GUSE,BlueBERT,BioSentVec,BioBERT,BLUEBERT-EFO
unspecified jaundice,jaundice,symptom,obstructive jaundice (5) [0.09],jaundice (1) [1.0],jaundice (1) [1.0],jaundice (1) [1.0],obstructive jaundice (2) [0.09],jaundice (1) [1.0],jaundice (1) [1.0],obstructive jaundice (2) [0.09],obstructive jaundice (>100) [0.09]
anaemia,anemia,disease,anemia (1) [1.0],anemia (disease) (>100) [0.15],blackfan-diamond anemia (2) [0.04],sideroblastic anemia (2) [0.14],blackfan-diamond anemia (2) [0.04],anemia (1) [1.0],anemia (1) [1.0],anemia (1) [1.0],anemia (disease) (5) [0.15]
fluid intelligence score,intelligence,quanttrait,intelligence (1) [1.0],intelligence (1) [1.0],intelligence (1) [1.0],cascot confidence score measurement (3) [0.11],intelligence (1) [1.0],disposition index measurement (>100) [0.08],intelligence (1) [1.0],cognitive function measurement (>100) [0.11],mental or behavioural disorder biomarker (>100) [0.11]
postpolio syndrome,postpoliomyelitis syndrome,disease,postpoliomyelitis syndrome (1) [1.0],postpoliomyelitis syndrome (1) [1.0],postpoliomyelitis syndrome (1) [1.0],susac syndrome (87) [0.1],mohr-tranebjaerg syndrome (>100) [0.12],tenorio syndrome (6) [0.1],postpoliomyelitis syndrome (1) [1.0],postpoliomyelitis syndrome (1) [1.0],syndromic disease (>100) [0.1]
secondary parkinsonism,secondary Parkinson disease,disease,secondary parkinson disease (1) [1.0],secondary parkinson disease (1) [1.0],parkinsonism (2) [0.1],parkinsonism (10) [0.1],secondary polycythemia (18) [0.19],secondary parkinson disease (1) [1.0],parkinsonism (3) [0.1],secondary parkinson disease (1) [1.0],secondary parkinson disease (1) [1.0]
retention of urine,Urinary retention,symptom,regenerating fin (>100) [0.07],urinary retention (1) [1.0],urine (2) [0.08],urinary retention (1) [1.0],urinary retention (1) [1.0],abnormal urine output (18) [0.55],urine (6) [0.08],renal water retention (22) [0.06],urinary retention (1) [1.0]
pace-maker,cardiac pacemaker,treatment,acetate (67) [0.11],nan (>100) [0.0],artificial cardiac pacemaker (1) [1.0],fast-seqs (>100) [0.4],artificial cardiac pacemaker (1) [1.0],goiter (20) [0.08],artificial cardiac pacemaker (1) [1.0],artificial cardiac pacemaker (1) [1.0],artificial cardiac pacemaker (1) [1.0]
unspecified dementia,dementia,disease,aids dementia (12) [0.36],alzheimer's disease (>100) [0.09],dementia (1) [1.0],dementia (1) [1.0],dementia (1) [1.0],vascular dementia (3) [0.08],dementia (1) [1.0],vascular dementia (6) [0.08],genetic dementia (7) [0.1]
jaundice (unknown cause),jaundice,symptom,juvenile huntington disease (4) [0.04],jaundice (1) [1.0],fever of unknown origin (5) [0.31],hypochromic microcytic anemia (disease) (>100) [0.11],jaundice (1) [1.0],jaundice (1) [1.0],jaundice (1) [1.0],jaundice (1) [1.0],liver disease (>100) [0.1]
dry eyes,dry eye syndrome,symptom,dry eye syndrome (1) [1.0],xerostomia (>100) [0.08],dry skin (2) [0.08],dry skin (2) [0.08],dry eye syndrome (1) [1.0],dry skin (5) [0.08],dry eye syndrome (1) [1.0],dry skin (2) [0.08],abnormality of the eye (>100) [0.08]
