query,cluster
perforation of tympanic membrane,-1
parkinson s disease,0
injury of muscle and tendon at lower leg level,0
prospective memory result,0
disc degeneration,0
granuloma inguinale,0
other follicular disorders,0
hayfever/allergic rhinitis,0
follow-up examination after treatment for malignant neoplasm,0
pregnancy examination and test,0
cervical erosion,0
early syphilis,0
cerebral aneurysm,0
myocarditis,0
irritant contact dermatitis,0
other disorders of muscle,0
malignant neoplasm of oesophagus,0
"other predominantly sexually transmitted diseases, not elsewhere classified",0
giant cell/temporal arteritis,0
"complications of procedures, not elsewhere classified",0
tennis elbow / lateral epicondylitis,0
meniere's disease,0
menopausal symptoms / menopause,0
spinal stenosis,0
listeriosis,0
soft tissue disorders related to use overuse and pressure,0
family relationship satisfaction,0
hearing difficulty/problems: yes,0
comparative height size at age 10,0
pre existing hypertensive disorder with superimposed proteinuria,0
fitting and adjustment of other devices,0
bursitis,0
"enthesopathies of lower limb, excluding foot",0
chest pain felt outside physical activity,0
hypertension,0
fibromyalgia,0
neuroticism score,0
cervical intra-epithelial neoplasia (cin) / precancerous cells cervix,0
risk taking,0
chickenpox,0
hereditary factor viii deficiency,0
whooping cough / pertussis,0
shingles,0
fracture skull / head,0
polycythaemia vera,0
cough,0
other abnormal products of conception,0
unspecified diabetes mellitus,0
interstitial lung disease,0
low platelets/platelet disorder,0
unspecified contact dermatitis,0
age at death,0
inguinal hernia,0
eating disorders,0
anorexia/bulimia/other eating disorder,0
leiomyoma of uterus,0
irregular heart beat,0
sickle cell disorders,0
lung cancer,0
benign lipomatous neoplasm,0
chronic skin ulcers,0
psoriatic arthropathy,0
psoriasis,0
other disorders of penis,0
sleep apnoea,0
other congenital musculoskeletal deformities,0
clotting disorder/excessive bleeding,0
iritis,0
peptic ulcer site unspecified,0
benign neoplasm of other and unspecified sites,0
dry eyes,0
aspergillosis,0
vaginal prolapse/uterine prolapse,0
pneumothorax,0
cushing s syndrome,0
otitis externa,0
vertigo,0
gynaecological disorder (not cancer),0
ovarian cyst or cysts,0
pyloric stenosis,0
parkinsons disease,0
thalassaemia,0
localized adiposity,0
other disorders of circulatory system,0
atopic dermatitis,0
post-natal depression,0
bph / benign prostatic hypertrophy,0
epilepsy,0
neoplasm of uncertain or unknown behaviour of oral cavity and digestive organs,0
neoplasm of uncertain or unknown behaviour of middle ear and respiratory and intrathoracic organs,0
neoplasm of uncertain or unknown behaviour of urinary organs,0
haemorrhoids / piles,0
other arthritis,0
hepatitis b,0
fracture clavicle / collar bone,0
stomatitis and related lesions,0
other disorders of prostate,0
maternal care for other conditions predominantly related to pregnancy,0
other disorders of cartilage,0
abnormal findings on diagnostic imaging of central nervous system,0
failure and rejection of transplanted organs and tissues,0
diseases of capillaries,0
cough on most days,0
other acquired deformities of musculoskeletal system and connective tissue,0
peripheral vascular disease,0
other erythematous conditions,0
cholesteatoma of middle ear,0
multiple valve diseases,0
mental and behavioural disorders due to use of opioids,0
other syphilis,0
"cysts of oral region, not elsewhere classified",0
other bursopathies,0
erosion and ectropion of cervix uteri,0
cystitis,0
gestational [pregnancy-induced] hypertension without significant proteinuria,0
congenital malformations of great veins,0
prolonged pregnancy,0
"other complications of labour and delivery, not elsewhere classified",0
"other disorders of ear, not elsewhere classified",0
diseases of tongue,0
benign neoplasm of breast,0
benign neoplasm of meninges,0
abnormality of aromatic amino acid family metabolism,0
other malignant neoplasms of skin,0
paraplegia and tetraplegia,0
intestinal malabsorption,0
body mass index (bmi),0
herpes simplex,0
somatoform disorders,0
sequelae of injuries of lower limb,0
other non-toxic goitre,0
complications of genitourinary prosthetic devices implants and grafts,0
other benign neoplasms of skin,0
abnormal findings on diagnostic imaging of other body structures,0
"other congenital malformations of tongue, mouth and pharynx",0
other diseases of stomach and duodenum,0
other female pelvic inflammatory diseases,0
labour and delivery complicated by foetal stress [distress],0
varicose veins of lower extremities,0
anaemia due to enzyme disorders,0
vitamin a deficiency,0
nonsuppurative otitis media,0
fracture forearm / wrist,0
parapsoriasis,0
urethritis and urethral syndrome,0
diaphragmatic hernia,0
status epilepticus,0
other inflammatory spondylopathies,0
snoring,0
fracture wrist / colles fracture,0
cystic fibrosis,0
fracture hand,0
ulcerative colitis,0
maximum workload during fitness test,0
fracture lower leg / ankle,0
other congenital malformations of male genital organs,0
congenital malformations of uterus and cervix,0
facial nerve disorders,0
dysmenorrhoea / dysmenorrhea,0
undescended testicle,0
alopecia / hair loss,0
systemic lupus erythematosus,0
otosclerosis,0
erythema multiforme,0
fracture radius,0
thyroid goitre,0
amyloidosis,0
constipation,0
blepharitis / eyelid infection,0
congenital deformities of hip,0
disorders of patella,0
plantar fascitis,0
congenital lens malformations,0
menorrhagia (unknown cause),0
disorders of autonomic nervous system,0
ectopic pregnancy,0
pleurisy,0
hyperthyroidism/thyrotoxicosis,0
miscarriage,0
transient ischaemic attack (tia),0
tuberculosis,0
breast fibroadenoma,0
strongyloidiasis,0
complications peculiar to reattachment and amputation,0
mumps / epidemic parotitis,0
obstructed labour due to malposition and malpresentation of foetus,0
hereditary/genetic haematological disorder,0
acute appendicitis,0
malignant neoplasm of ovary,0
poisoning by narcotics and psychodysleptics [hallucinogens],0
systemic sclerosis,0
hordeolum and chalazion,0
spinal injury,0
mononeuropathies of lower limb,0
acne,0
"ulcer of lower limb, not elsewhere classified",0
acute sinusitis,0
manic episode,0
other hypothyroidism,0
other interstitial pulmonary diseases,0
myasthenia gravis and other myoneural disorders,0
other disorders of pigmentation,0
gestational diabetes only,0
rheumatoid arthritis,0
gestational diabetes,0
neck/shoulder pain for 3+ months,0
leishmaniasis,0
dyspepsia / indigestion,0
obesity,0
fibrosis and cirrhosis of liver,0
injury of blood vessels at shoulder and upper arm level,0
follicular cysts of skin and subcutaneous tissue,0
urticaria,0
"inflammatory disorders of male genital organs, not elsewhere classified",0
disorders of lacrimal system,0
gastric ulcer,0
hemiplegia,0
injury of blood vessels at hip and thigh level,0
maternal care for known or suspected abnormality of pelvic organs,0
donors of organs and tissues,0
pain associated with micturition,0
acquired haemolytic anaemia,0
"other complications of surgical and medical care, not elsewhere classified",0
other anxiety disorders,0
coalworker s pneumoconiosis,0
anuria and oliguria,0
habitual aborter,0
bacterial meningitis,0
ascorbic acid deficiency,0
vitamin b12 deficiency anaemia,0
common variable immunodeficiency,0
coxarthrosis,0
injury of blood vessels at neck level injury  efo 0009886 broad s15 done,0
long labour,0
