query,cluster
vascular disorders of intestine,-1
relative age of first facial hair,-1
wheeze or whistling in the chest in last year,-1
falls in the last year,-1
"long-standing illness, disability or infirmity",-1
"seen a psychiatrist for nerves, anxiety, tension or depression",-1
"seen doctor (gp) for nerves, anxiety, tension or depression",-1
suffer from 'nerves',-1
worry too long after embarrassment,-1
number of children fathered,-1
tense / 'highly strung',-1
nap during day,-1
getting up in morning,-1
number of incorrect matches in round,-1
townsend deprivation index at recruitment,-1
number of treatments/medications taken,-1
"number of operations, self-reported",-1
number of self-reported non-cancer illnesses,-1
number of self-reported cancers,-1
comparative body size at age 10,-1
hearing difficulty/problems: i am completely deaf,-1
birth weight of first child,-1
peak expiratory flow (pef),-1
able to walk or cycle unaided for 10 minutes,-1
severity of manic/irritable episodes,-1
length of longest manic/irritable episode,-1
surgery on leg arteries (other than for varicose veins),-1
number of unenthusiastic/disinterested episodes,-1
cochlear implant,-1
shortness of breath walking on level ground,-1
ever unenthusiastic/disinterested for a whole week,-1
bilateral oophorectomy (both ovaries removed),-1
ever depressed for a whole week,-1
friendships satisfaction,-1
health satisfaction,-1
work/job satisfaction,-1
happiness,-1
age of primiparous women at birth of child,-1
number of stillbirths,-1
hearing aid user,-1
pace-maker,-1
financial situation satisfaction,-1
target heart rate achieved,-1
benign neuroma,-1
fracture vertebra / crush fracture / vertebral collapse,-1
handedness (chirality/laterality): left-handed,-1
creatinine (enzymatic) in urine,-1
mean time to correctly identify matches,-1
longest period of unenthusiasm / disinterest,-1
number of depression episodes,-1
longest period of depression,-1
facial pains for 3+ months,-1
fracture resulting from simple fall,-1
handedness (chirality/laterality): use both right and left hands equally,-1
ever used hormone-replacement therapy (hrt),-1
fractured/broken bones in last 5 years,-1
cancer diagnosed by doctor,-1
diabetes diagnosed by doctor,-1
frequency of unenthusiasm / disinterest in last 2 weeks,-1
frequency of depressed mood in last 2 weeks,-1
worrier / anxious feelings,-1
daytime dozing / sleeping (narcolepsy),-1
age completed full time education,-1
"ever had stillbirth, spontaneous miscarriage or termination",-1
allergy to house dust mite,-1
cin/pre-cancer cells cervix,-1
heart valve problem/heart murmur,-1
stress,-1
bowel / intestinal obstruction,-1
macular degeneration,-1
anal problem,-1
svt / supraventricular tachycardia,-1
cervical spondylosis,-1
diabetic neuropathy/ulcers,-1
prolapsed disc/slipped disc,-1
rodent ulcer,-1
spine arthritis/spondylitis,-1
anxiety/panic attacks,-1
meningitis,-1
parathyroid gland problem (not cancer),-1
non-infective hepatitis,-1
stomach disorder,-1
oesophageal disorder,-1
other respiratory problems,-1
pericardial problem,-1
muscle/soft tissue problem,-1
fracture toe,-1
sitting height,-1
bring up phlegm/sputum/mucus on most days,-1
mycetoma,-1
hereditary ataxia,-1
"persons encountering health services for other counselling and medical advice, not elsewhere classified",-1
persons encountering health services in other circumstances,-1
artificial opening status,-1
acquired haemolytic anaemia,-1
other postsurgical states,-1
other fluke infections,-1
viral warts,-1
injury of blood vessels at shoulder and upper arm level,-1
injury of other intrathoracic organs,-1
injury of blood vessels at neck level injury  efo 0009886 broad s15 done,-1
abnormal serum enzyme levels,-1
intrauterine hypoxia,-1
complications of anaesthesia during the puerperium,-1
other obstetric trauma,-1
perineal laceration during delivery,-1
long labour,-1
injury of blood vessels at abdomen lower back and pelvis level,-1
maternal care for known or suspected abnormality of pelvic organs,-1
acquired absence of limb,-1
pemphigoid,-1
heartburn,-1
dysphagia,-1
fever of unknown origin,-1
headache,-1
fracture of skull and facial bones,-1
congenital ichthyosis,-1
hypertensive renal disease,-1
chlamydia psittaci infection,-1
convalescence,-1
dizziness and giddiness,-1
