query,cluster
parkinson s disease,-1
huntington s disease,-1
joint pain,-1
arthritis (nos),-1
adrenogenital disorders,-1
carpal tunnel syndrome,-1
erythema nodosum,-1
dupuytren's contracture,-1
nausea and vomiting,-1
lichen sclerosis,-1
polyuria,-1
rubella / german measles,-1
other disorders of nervous system,-1
hypertrichosis,-1
cicatricial alopecia,-1
acute nephritic syndrome,-1
congenital malformations of eyelid lacrimal apparatus and orbit,-1
essential primary hypertension,-1
measles / morbillivirus,-1
unspecified nephritic syndrome,-1
spotted fever,-1
fracture ulna,-1
apocrine sweat disorders,-1
exfoliative dermatitis,-1
conjunctivitis,-1
congenital malformations of cardiac chambers and connections,-1
unspecified abortion,-1
hereditary factor ix deficiency,-1
lactose intolerance,-1
bell's palsy/facial nerve palsy,-1
turner s syndrome,-1
"other dorsopathies, not elsewhere classified",-1
enterobiasis,-1
yaws,-1
spontaneous rupture of synovium and tendon,-1
calculus of kidney and ureter,-1
male infertility,-1
acute infective polyneuritis/guillain-barre syndrome,-1
other strabismus,-1
endometriosis,-1
cytomegaloviral disease,-1
myositis,-1
hypertrophic cardiomyopathy (hcm / hocm),-1
sarcoidosis,-1
other specified diabetes mellitus,-1
cardiomyopathy,-1
cellulitis,-1
incisional hernia,-1
nephritis,-1
conduct disorders,-1
hypospadias,-1
androgenic alopecia,-1
cleft lip,-1
atherosclerosis,-1
ankylosing spondylitis,-1
multiple sclerosis,-1
congenital malformations of great arteries,-1
crohn s disease,-1
other spondylopathies,-1
other ill defined and unspecified causes of mortality,-1
subsequent myocardial infarction,-1
chest pain due to walking ceases when standing still,-1
knee pain for 3+ months,-1
polyarteritis nodosa and related conditions,-1
disorders of vitreous body and globe in diseases classified elsewhere,-1
back pain,-1
subclinical iodine deficiency hypothyroidism,-1
alcohol dependency,-1
polymyalgia rheumatica,-1
premature rupture of membranes,-1
systemic lupus erythematosis/sle,-1
sjogren's syndrome/sicca syndrome,-1
other extrapyramidal and movement disorders,-1
infections of genitourinary tract in pregnancy,-1
osteopathies in diseases classified elsewhere,-1
complications and ill defined descriptions of heart disease,-1
acute hepatitis b,-1
connective tissue disorder,-1
nasal polyps,-1
abnormalities of heart beat,-1
inflammatory diseases of prostate,-1
lack of food,-1
dermatopolymyositis,-1
hypopituitarism,-1
other disorders of peripheral nervous system,-1
other disorders of nose and nasal sinuses,-1
other functional intestinal disorders,-1
fracture of lumbar spine and pelvis,-1
fracture face / orbit / eye socket,-1
overall health rating,-1
guilty feelings,-1
acute myocardial infarction,-1
gangrene,-1
secondary parkinsonism,-1
unspecified jaundice,-1
other congenital malformations of peripheral vascular system,-1
fracture thumb,-1
fracture rib,-1
fracture pelvis,-1
congenital malformations of lung,-1
other congenital malformations of skin,-1
other congenital malformations of circulatory system,-1
unspecified viral hepatitis,-1
preterm delivery,-1
neonatal jaundice from other causes,-1
sensitivity / hurt feelings,-1
sequelae of inflammatory diseases of cns,-1
hypertrophic disorders of skin,-1
other injuries of spine and trunk level unspecified,-1
sequelae of injuries involving multiple and unspecified body regions,-1
scarlet fever / scarlatina,-1
pre existing hypertension complicating pregnancy childbirth and the puerperium,-1
problems related to physical environment,-1
gastritis and duodenitis,-1
fed-up feelings,-1
pulse wave reflection index,-1
injury of nerves at forearm level,-1
meningioma / benign meningeal tumour,-1
other systemic involvement of connective tissue,-1
other specific joint derangements,-1
miliary tuberculosis,-1
cerebral infarction,-1
benign neoplasm of other and ill-defined parts of digestive system,-1
other nontraumatic intracranial haemorrhage,-1
benign neoplasm of bone and articular cartilage,-1
"benign neoplasm of colon, rectum, anus and anal canal",-1
other benign neoplasms of connective and other soft tissue,-1
melanocytic naevi,-1
aortic aneurysm and dissection,-1
other respiratory disorders,-1
lymphoid leukaemia,-1
"other disorders of kidney and ureter, not elsewhere classified",-1
single spontaneous delivery,-1
other hearing loss,-1
single delivery by caesarean section,-1
"haemangioma and lymphangioma, any site",-1
recurrent and persistent haematuria,-1
malignant neoplasm of colon,-1
"fracture of rib(s), sternum and thoracic spine",-1
open wound of forearm,-1
superficial injury of wrist and hand,-1
labour and delivery complicated by umbilical cord complications,-1
other disorders of urethra,-1
open wound of lower leg,-1
hyperplasia of prostate,-1
"fracture of lower leg, including ankle",-1
other and unspecified injuries of lower leg,-1
hodgkin's disease,-1
open wound of ankle and foot,-1
transient cerebral ischaemic attacks and related syndromes,-1
