efo.type,efo.value,efo.id
typed-literal,Xeroderma pigmentosum variant,http://www.orpha.net/ORDO/Orphanet_90342
typed-literal,Xeroderma pigmentosum,http://www.orpha.net/ORDO/Orphanet_910
typed-literal,Ischemic stroke,http://purl.obolibrary.org/obo/HP_0002140
typed-literal,Cerebral ischemia,http://purl.obolibrary.org/obo/HP_0002637
typed-literal,small cell carcinoma,http://www.ebi.ac.uk/efo/EFO_0008524
typed-literal,carcinoma,http://www.ebi.ac.uk/efo/EFO_0000313
typed-literal,T-cell leukemia,http://www.ebi.ac.uk/efo/EFO_0005592
typed-literal,lymphoid leukemia,http://www.ebi.ac.uk/efo/EFO_0004289
typed-literal,Niemann-Pick disease type C,http://www.orpha.net/ORDO/Orphanet_646
typed-literal,Niemann-Pick disease,http://www.ebi.ac.uk/efo/EFO_1001380
typed-literal,Tuberous sclerosis,http://www.orpha.net/ORDO/Orphanet_805
typed-literal,skin neoplasm,http://www.ebi.ac.uk/efo/EFO_0004198
typed-literal,brain neoplasm,http://www.ebi.ac.uk/efo/EFO_0003833
typed-literal,tetralogy of fallot,http://purl.obolibrary.org/obo/HP_0001636
typed-literal,Abnormality of the cardiovascular system,http://purl.obolibrary.org/obo/HP_0001626
typed-literal,Meningioma,http://www.orpha.net/ORDO/Orphanet_2495
typed-literal,meningeal neoplasm,http://www.ebi.ac.uk/efo/EFO_0003851
typed-literal,endocrine neoplasm,http://www.ebi.ac.uk/efo/EFO_0003769
typed-literal,Muscular dystrophy,http://www.orpha.net/ORDO/Orphanet_98473
typed-literal,myopathy,http://www.ebi.ac.uk/efo/EFO_0004145
typed-literal,tissue culture,http://purl.obolibrary.org/obo/BTO_0001384
typed-literal,material entity,http://purl.obolibrary.org/obo/BFO_0000040
typed-literal,C57BL,http://www.ebi.ac.uk/efo/EFO_0005181
typed-literal,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090
typed-literal,BALB/cByJ,http://www.ebi.ac.uk/efo/EFO_0000603
typed-literal,bark,http://purl.obolibrary.org/obo/PO_0004518
typed-literal,shoot system,http://purl.obolibrary.org/obo/PO_0009006
typed-literal,MDAMB453,http://www.ebi.ac.uk/efo/EFO_0001215
typed-literal,breast cancer cell line,http://www.ebi.ac.uk/efo/EFO_0002885
typed-literal,SKMEL3,http://www.ebi.ac.uk/efo/EFO_0002333
typed-literal,melanoma cell line,http://purl.obolibrary.org/obo/BTO_0000849
typed-literal,Malme3M,http://www.ebi.ac.uk/efo/EFO_0002243
typed-literal,M14,http://www.ebi.ac.uk/efo/EFO_0003056
typed-literal,MOLT-3,http://www.ebi.ac.uk/efo/EFO_0005265
typed-literal,lymphoblastoid cell line,http://www.ebi.ac.uk/efo/EFO_0005292
typed-literal,SNU16,http://www.ebi.ac.uk/efo/EFO_0002344
typed-literal,cancer cell line,http://www.ebi.ac.uk/efo/EFO_0001639
typed-literal,TE85,http://www.ebi.ac.uk/efo/EFO_0002866
typed-literal,MKN74,http://www.ebi.ac.uk/efo/EFO_0002834
typed-literal,MKN7,http://www.ebi.ac.uk/efo/EFO_0002895
typed-literal,SF126,http://www.ebi.ac.uk/efo/EFO_0005450
typed-literal,SNU1,http://www.ebi.ac.uk/efo/EFO_0002343
typed-literal,SW954,http://www.ebi.ac.uk/efo/EFO_0002376
typed-literal,U373,http://www.ebi.ac.uk/efo/EFO_0001255
typed-literal,MKN1,http://www.ebi.ac.uk/efo/EFO_0002830
typed-literal,SF268,http://www.ebi.ac.uk/efo/EFO_0005451
typed-literal,Caki1,http://www.ebi.ac.uk/efo/EFO_0002149
typed-literal,Panc1,http://www.ebi.ac.uk/efo/EFO_0002713
typed-literal,RD,http://www.ebi.ac.uk/efo/EFO_0002315
typed-literal,SK-N-MC,http://www.ebi.ac.uk/efo/EFO_0002860
typed-literal,SNB19,http://www.ebi.ac.uk/efo/EFO_0002342
typed-literal,SW1088,http://www.ebi.ac.uk/efo/EFO_0002358
typed-literal,material sample,http://purl.obolibrary.org/obo/OBI_0000747
typed-literal,specimen,http://purl.obolibrary.org/obo/OBI_0100051
typed-literal,cell specimen,http://purl.obolibrary.org/obo/OBI_0001468
typed-literal,subthalamic nucleus,http://purl.obolibrary.org/obo/UBERON_0001906
typed-literal,anatomical entity,http://purl.obolibrary.org/obo/UBERON_0001062
typed-literal,larynx,http://purl.obolibrary.org/obo/UBERON_0001737
typed-literal,anatomical structure,http://purl.obolibrary.org/obo/UBERON_0000061
typed-literal,knee,http://purl.obolibrary.org/obo/UBERON_0001465
typed-literal,connective tissue,http://purl.obolibrary.org/obo/UBERON_0002384
typed-literal,olfactory lobe,http://purl.obolibrary.org/obo/UBERON_0005366
typed-literal,blastocyst,http://purl.obolibrary.org/obo/UBERON_0000358
typed-literal,embryonic structure,http://purl.obolibrary.org/obo/UBERON_0002050
typed-literal,Ellis Van Creveld syndrome,http://www.orpha.net/ORDO/Orphanet_289
typed-literal,Jeune syndrome,http://www.orpha.net/ORDO/Orphanet_474
typed-literal,shoot,http://www.ebi.ac.uk/efo/EFO_0000992
typed-literal,Rhodobacter sphaeroides,http://purl.obolibrary.org/obo/NCBITaxon_1063
typed-literal,Bacteria,http://purl.obolibrary.org/obo/NCBITaxon_2
typed-literal,Enterococcus faecalis OG1RF,http://purl.obolibrary.org/obo/NCBITaxon_474186
typed-literal,Ochrobactrum anthropi,http://purl.obolibrary.org/obo/NCBITaxon_529
typed-literal,Thermus thermophilus HB8,http://purl.obolibrary.org/obo/NCBITaxon_300852
typed-literal,Sinorhizobium meliloti,http://purl.obolibrary.org/obo/NCBITaxon_382
typed-literal,Mycobacterium leprae,http://purl.obolibrary.org/obo/NCBITaxon_1769
typed-literal,Coxiella burnetii,http://purl.obolibrary.org/obo/NCBITaxon_777
typed-literal,Brucella abortus,http://purl.obolibrary.org/obo/NCBITaxon_235
typed-literal,Pseudomonas putida,http://purl.obolibrary.org/obo/NCBITaxon_303
typed-literal,Fanconi anemia,http://www.orpha.net/ORDO/Orphanet_84
typed-literal,DNA repair deficiency,http://www.ebi.ac.uk/efo/EFO_0008499
typed-literal,Pyrococcus furiosus DSM 3638,http://purl.obolibrary.org/obo/NCBITaxon_186497
typed-literal,Archaea,http://purl.obolibrary.org/obo/NCBITaxon_2157
typed-literal,PC-10,http://www.ebi.ac.uk/efo/EFO_0002843
typed-literal,lung cancer cell line,http://www.ebi.ac.uk/efo/EFO_0002934
typed-literal,Calu3,http://www.ebi.ac.uk/efo/EFO_0002819
typed-literal,RERF-LC-AI,http://www.ebi.ac.uk/efo/EFO_0002850
typed-literal,NCI-H358,http://www.ebi.ac.uk/efo/EFO_0002291
typed-literal,PC-6,http://www.ebi.ac.uk/efo/EFO_0002845
typed-literal,DMS79,http://www.ebi.ac.uk/efo/EFO_0002166
typed-literal,R1,http://www.ebi.ac.uk/efo/EFO_0002076
typed-literal,mouse cell line,http://www.ebi.ac.uk/efo/EFO_0002887
typed-literal,S49,http://www.ebi.ac.uk/efo/EFO_0001234
typed-literal,C3H10T1/2,http://www.ebi.ac.uk/efo/EFO_0002816
typed-literal,embryonic cell line,http://www.ebi.ac.uk/efo/EFO_0003040
typed-literal,MCF 10A,http://www.ebi.ac.uk/efo/EFO_0001200
typed-literal,mammary gland cell line,http://www.ebi.ac.uk/efo/EFO_0002884
typed-literal,MCF12A,http://www.ebi.ac.uk/efo/EFO_0001202
typed-literal,Drosophila pseudoobscura,http://purl.obolibrary.org/obo/NCBITaxon_7237
typed-literal,Drosophila,http://purl.obolibrary.org/obo/NCBITaxon_7215
typed-literal,IGROV-1,http://www.ebi.ac.uk/efo/EFO_0005385
typed-literal,ovarian cancer cell lines,http://www.ebi.ac.uk/efo/EFO_0002394
typed-literal,OVCAR5,http://www.ebi.ac.uk/efo/EFO_0005443
typed-literal,Bos indicus,http://purl.obolibrary.org/obo/NCBITaxon_9915
